"Data","hora","minuto","direcao","velocidade","TempAr","tempOrvalho","pressao"
"01/01/2007 ","00","00","000","00","24","22","1016"
"01/01/2007 ","01","00","000","00","24","22","1017"
"01/01/2007 ","02","00","130","02","24","22","1016"
"01/01/2007 ","03","00","120","04","23","22","1016"
"01/01/2007 ","04","00","140","03","23","21","1015"
"01/01/2007 ","05","00","170","03","23","21","1015"
"01/01/2007 ","06","00","150","03","22","21","1015"
"01/01/2007 ","07","00","150","04","22","21","1015"
"01/01/2007 ","08","00","130","04","22","21","1015"
"01/01/2007 ","09","00","130","03","22","21","1016"
"01/01/2007 ","10","00","110","03","22","21","1016"
"01/01/2007 ","11","00","070","02","23","21","1017"
"01/01/2007 ","12","00","060","03","23","21","1017"
"01/01/2007 ","13","00","100","02","23","21","1017"
"01/01/2007 ","14","00","100","04","24","22","1017"
"01/01/2007 ","15","00","110","07","25","22","1017"
"01/01/2007 ","16","00","100","06","25","21","1016"
"01/01/2007 ","17","00","100","07","25","22","1016"
"01/01/2007 ","18","00","090","07","25","22","1016"
"01/01/2007 ","19","00","090","07","25","22","1015"
"01/01/2007 ","20","00","090","07","25","22","1015"
"01/01/2007 ","21","00","090","08","24","22","1015"
"01/01/2007 ","21","20","100","06","24","22","1015"
"01/01/2007 ","22","00","110","05","24","22","1015"
"01/01/2007 ","23","00","130","05","23","21","1016"
"02/01/2007 ","00","00","130","05","23","21","1016"
"02/01/2007 ","01","00","140","05","23","21","1016"
"02/01/2007 ","02","00","110","02","23","21","1017"
"02/01/2007 ","03","00","130","03","23","21","1016"
"02/01/2007 ","04","00","120","03","22","21","1015"
"02/01/2007 ","05","00","120","03","22","21","1015"
"02/01/2007 ","06","00","160","03","22","21","1015"
"02/01/2007 ","07","00","140","04","22","21","1015"
"02/01/2007 ","08","00","160","03","22","21","1016"
"02/01/2007 ","09","00","120","02","23","22","1017"
"02/01/2007 ","10","00","120","04","23","22","1017"
"02/01/2007 ","11","00","110","04","23","21","1018"
"02/01/2007 ","12","00","100","05","24","22","1018"
"02/01/2007 ","13","00","100","05","24","22","1018"
"02/01/2007 ","14","00","080","04","25","22","1018"
"02/01/2007 ","15","00","100","07","24","22","1017"
"02/01/2007 ","16","00","120","07","25","22","1017"
"02/01/2007 ","17","00","110","10","25","22","1016"
"02/01/2007 ","18","00","130","10","25","22","1015"
"02/01/2007 ","19","00","140","08","25","22","1015"
"02/01/2007 ","20","00","100","10","25","22","1015"
"02/01/2007 ","21","00","110","13","24","21","1015"
"02/01/2007 ","22","00","100","11","23","21","1015"
"02/01/2007 ","23","00","120","12","23","20","1016"
"03/01/2007 ","00","00","120","12","23","20","1016"
"03/01/2007 ","01","00","100","10","23","20","1016"
"03/01/2007 ","02","00","110","08","22","20","1016"
"03/01/2007 ","03","00","110","04","22","20","1015"
"03/01/2007 ","04","00","110","05","22","20","1015"
"03/01/2007 ","05","00","110","04","22","21","1015"
"03/01/2007 ","06","00","070","07","22","21","1014"
"03/01/2007 ","07","00","090","08","22","21","1015"
"03/01/2007 ","08","00","100","08","21","20","1015"
"03/01/2007 ","09","00","090","10","21","20","1015"
"03/01/2007 ","10","00","080","07","21","20","1016"
"03/01/2007 ","11","00","090","06","22","21","1016"
"03/01/2007 ","12","00","100","08","23","21","1016"
"03/01/2007 ","13","00","100","05","23","21","1015"
"03/01/2007 ","14","00","090","08","23","21","1015"
"03/01/2007 ","15","00","090","09","24","22","1015"
"03/01/2007 ","16","00","090","07","23","22","1015"
"03/01/2007 ","17","00","120","06","23","22","1014"
"03/01/2007 ","18","00","090","05","23","22","1013"
"03/01/2007 ","19","00","100","06","23","22","1012"
"03/01/2007 ","20","00","120","06","23","21","1012"
"03/01/2007 ","21","00","120","06","23","21","1011"
"03/01/2007 ","22","00","150","06","23","22","1011"
"03/01/2007 ","23","00","090","06","22","21","1011"
"04/01/2007 ","00","00","090","06","22","21","1012"
"04/01/2007 ","01","00","120","03","22","21","1012"
"04/01/2007 ","02","00","060","02","22","21","1011"
"04/01/2007 ","03","00","130","03","22","21","1011"
"04/01/2007 ","04","00","120","03","22","21","1010"
"04/01/2007 ","05","00","070","03","22","20","1010"
"04/01/2007 ","06","00","110","07","21","20","1009"
"04/01/2007 ","07","00","150","03","22","21","1009"
"04/01/2007 ","08","00","120","05","22","20","1010"
"04/01/2007 ","09","00","100","06","22","21","1010"
"04/01/2007 ","10","00","120","05","23","21","1010"
"04/01/2007 ","11","00","110","04","25","21","1011"
"04/01/2007 ","12","00","050","03","25","21","1011"
"04/01/2007 ","13","00","010","04","25","21","1011"
"04/01/2007 ","14","00","050","03","26","22","1010"
"04/01/2007 ","15","00","010","05","28","22","1010"
"04/01/2007 ","16","00","080","06","28","23","1009"
"04/01/2007 ","16","25","030","02","27","23","1009"
"04/01/2007 ","17","00","130","03","27","23","1009"
"04/01/2007 ","18","00","070","06","28","23","1008"
"04/01/2007 ","19","00","110","07","27","23","1008"
"04/01/2007 ","20","00","090","10","27","23","1007"
"04/01/2007 ","21","00","080","08","26","23","1008"
"04/01/2007 ","22","00","090","06","26","22","1008"
"04/01/2007 ","23","00","140","05","26","22","1008"
"05/01/2007 ","00","00","150","03","25","22","1009"
"05/01/2007 ","01","00","130","05","25","22","1009"
"05/01/2007 ","02","00","080","04","25","22","1009"
"05/01/2007 ","03","00","070","03","24","22","1009"
"05/01/2007 ","04","00","120","02","24","22","1008"
"05/01/2007 ","05","00","170","04","24","22","1008"
"05/01/2007 ","06","00","140","02","24","22","1007"
"05/01/2007 ","07","00","000","00","23","22","1007"
"05/01/2007 ","08","00","160","02","23","22","1008"
"05/01/2007 ","09","00","000","00","24","23","1008"
"05/01/2007 ","10","00","220","03","26","23","1009"
"05/01/2007 ","11","00","330","06","30","24","1009"
"05/01/2007 ","12","00","020","05","30","23","1009"
"05/01/2007 ","13","00","350","12","30","21","1009"
"05/01/2007 ","14","00","360","10","30","21","1008"
"05/01/2007 ","15","00","350","12","32","22","1008"
"05/01/2007 ","16","00","340","12","32","21","1008"
"05/01/2007 ","17","00","350","11","30","22","1008"
"05/01/2007 ","18","00","010","08","29","22","1007"
"05/01/2007 ","19","00","350","05","30","22","1007"
"05/01/2007 ","20","00","350","08","29","21","1007"
"05/01/2007 ","21","00","010","06","28","22","1007"
"05/01/2007 ","22","00","020","06","28","21","1007"
"05/01/2007 ","23","00","020","05","28","21","1008"
"06/01/2007 ","00","00","090","03","27","22","1008"
"06/01/2007 ","01","00","320","06","28","20","1008"
"06/01/2007 ","02","00","310","05","28","20","1008"
"06/01/2007 ","03","00","280","04","27","22","1008"
"06/01/2007 ","04","00","040","02","27","22","1008"
"06/01/2007 ","05","00","000","00","27","21","1007"
"06/01/2007 ","06","00","010","07","27","21","1007"
"06/01/2007 ","07","00","120","02","26","22","1007"
"06/01/2007 ","08","00","010","04","26","21","1008"
"06/01/2007 ","09","00","350","04","27","22","1009"
"06/01/2007 ","10","00","350","04","27","22","1009"
"06/01/2007 ","11","00","300","03","27","22","1010"
"06/01/2007 ","12","00","300","08","27","22","1011"
"06/01/2007 ","13","00","270","07","28","22","1011"
"06/01/2007 ","14","00","260","03","30","22","1010"
"06/01/2007 ","15","00","090","03","30","24","1010"
"06/01/2007 ","17","00","080","04","31","24","1009"
"06/01/2007 ","20","00","120","05","29","24","1008"
"06/01/2007 ","21","00","130","04","30","24","1008"
"06/01/2007 ","22","00","060","02","28","22","1009"
"06/01/2007 ","23","00","130","06","28","22","1010"
"07/01/2007 ","00","00","100","06","27","22","1010"
"07/01/2007 ","01","00","170","04","27","22","1011"
"07/01/2007 ","02","00","170","01","27","22","1011"
"07/01/2007 ","03","00","100","02","27","22","1010"
"07/01/2007 ","04","00","000","00","26","22","1010"
"07/01/2007 ","05","00","000","00","26","22","1010"
"07/01/2007 ","06","00","000","00","26","23","1010"
"07/01/2007 ","07","00","000","00","26","23","1010"
"07/01/2007 ","08","00","000","00","26","23","1011"
"07/01/2007 ","09","00","000","00","26","23","1011"
"07/01/2007 ","10","00","030","04","27","23","1012"
"07/01/2007 ","11","00","070","05","30","24","1012"
"07/01/2007 ","12","00","350","01","31","22","1013"
"07/01/2007 ","13","00","010","03","32","24","1013"
"07/01/2007 ","14","00","030","03","34","23","1012"
"07/01/2007 ","15","00","360","02","33","24","1012"
"07/01/2007 ","16","00","060","03","36","24","1012"
"07/01/2007 ","17","00","140","10","34","22","1011"
"07/01/2007 ","17","23","140","12","29","22","1011"
"07/01/2007 ","17","37","240","20","28","22","1011"
"07/01/2007 ","18","00","260","34","25","21","1013"
"07/01/2007 ","18","07","160","16","25","22","1011"
"07/01/2007 ","18","23","190","05","25","22","1011"
"07/01/2007 ","19","00","330","07","26","23","1012"
"07/01/2007 ","20","00","360","03","27","25","1012"
"07/01/2007 ","21","00","060","02","27","24","1012"
"07/01/2007 ","22","00","160","03","26","24","1012"
"07/01/2007 ","23","00","060","03","26","24","1013"
"08/01/2007 ","00","00","170","04","26","24","1014"
"08/01/2007 ","01","00","020","01","26","24","1013"
"08/01/2007 ","02","00","020","01","26","24","1013"
"08/01/2007 ","03","00","020","02","26","24","1013"
"08/01/2007 ","04","00","320","02","25","23","1012"
"08/01/2007 ","05","00","320","04","25","24","1011"
"08/01/2007 ","06","00","270","02","25","23","1011"
"08/01/2007 ","07","00","010","02","25","23","1011"
"08/01/2007 ","08","00","010","02","24","23","1011"
"08/01/2007 ","08","40","090","02","25","23","1012"
"08/01/2007 ","09","00","080","03","25","23","1012"
"08/01/2007 ","10","00","110","05","25","24","1012"
"08/01/2007 ","11","00","150","03","25","24","1013"
"08/01/2007 ","12","00","260","08","26","24","1014"
"08/01/2007 ","13","00","200","04","27","24","1014"
"08/01/2007 ","14","00","290","03","27","24","1013"
"08/01/2007 ","15","00","010","03","28","25","1013"
"08/01/2007 ","16","00","090","03","29","25","1012"
"08/01/2007 ","17","00","140","07","30","25","1012"
"08/01/2007 ","18","00","140","13","28","24","1012"
"08/01/2007 ","19","00","150","12","28","24","1011"
"08/01/2007 ","20","00","140","11","27","23","1011"
"08/01/2007 ","21","00","140","10","26","22","1012"
"08/01/2007 ","22","00","080","05","25","23","1013"
"08/01/2007 ","22","34","030","05","24","23","1014"
"08/01/2007 ","22","44","050","05","24","23","1014"
"08/01/2007 ","23","00","090","05","24","23","1014"
"09/01/2007 ","00","00","280","02","24","23","1014"
"09/01/2007 ","01","00","290","04","25","24","1014"
"09/01/2007 ","02","00","280","03","24","23","1013"
"09/01/2007 ","03","00","340","03","24","23","1012"
"09/01/2007 ","04","00","080","03","24","23","1012"
"09/01/2007 ","05","00","090","05","24","22","1012"
"09/01/2007 ","06","00","000","00","23","22","1012"
"09/01/2007 ","07","00","000","00","23","22","1011"
"09/01/2007 ","08","00","000","00","23","22","1012"
"09/01/2007 ","09","00","000","00","23","22","1013"
"09/01/2007 ","10","00","060","03","24","23","1013"
"09/01/2007 ","11","00","110","03","25","23","1014"
"09/01/2007 ","12","00","040","03","25","23","1014"
"09/01/2007 ","13","00","020","04","28","24","1014"
"09/01/2007 ","14","00","020","06","29","24","1013"
"09/01/2007 ","15","00","340","05","28","24","1012"
"09/01/2007 ","16","00","110","09","28","24","1011"
